t,xlin,xnlin
26.459999999999525,-0.5552947110438147,0.03494741383016492
26.479999999999524,-0.555311102652559,0.04987263314507875
26.499999999999524,-0.5538490581847259,0.05802180563560126
26.519999999999524,-0.5525016192845451,0.06398455377703571
26.539999999999523,-0.5445750968503656,0.08184954555685856
26.559999999999523,-0.5299068835667465,0.09056173067581869
26.579999999999522,-0.5220265456219663,0.10782075835837192
26.599999999999522,-0.5243206805214491,0.12806464675667617
26.61999999999952,-0.5262839409785336,0.1280483570780603
26.63999999999952,-0.5263082492771204,0.14335879295706713
26.65999999999952,-0.5303132533273155,0.1525533028501485
26.67999999999952,-0.5236888194294658,0.17338477780413988
26.69999999999952,-0.5297017342000738,0.17336351979094022
26.71999999999952,-0.5261133637231772,0.19203443199832002
26.73999999999952,-0.5233794013735572,0.20926289593427827
26.75999999999952,-0.5094965294494259,0.22129576520805
26.779999999999518,-0.5166704283302062,0.2450839561372141
26.799999999999518,-0.5095097854409456,0.269226400740817
26.819999999999517,-0.49405618531119905,0.2695305631240023
26.839999999999517,-0.4939570732833269,0.28614240279823894
26.859999999999516,-0.4957358147976624,0.29585052762314845
26.879999999999516,-0.4963482744081896,0.3260633189139401
26.899999999999515,-0.4865529354061091,0.34608821541951734
26.919999999999515,-0.492966301558751,0.35548520065757394
26.939999999999515,-0.4860614659342499,0.3657112895176316
26.959999999999514,-0.49864726569774287,0.38741863053957054
26.979999999999514,-0.49227325888013096,0.4105186725550427
26.999999999999513,-0.4983545977600778,0.41142782218212365
27.019999999999513,-0.49077294791813214,0.4326330343081415
27.039999999999512,-0.4896238962174083,0.4453882913189624
27.059999999999512,-0.49070573129883005,0.4536894226851456
27.07999999999951,-0.4886001811869451,0.4769651297272408
27.09999999999951,-0.4860471807128422,0.49826662432204327
27.11999999999951,-0.48659972542333657,0.5151736073023508
27.13999999999951,-0.49350343354606163,0.5457918550606262
27.15999999999951,-0.4927034156320449,0.5475210658912437
27.17999999999951,-0.49000695166209646,0.5573501187972338
27.19999999999951,-0.49263687582599247,0.5695390608317917
27.21999999999951,-0.4926896179384921,0.5955465841899944
27.239999999999508,-0.5004120829988142,0.624067801852617
27.259999999999508,-0.504430358738224,0.6402441906483115
27.279999999999507,-0.5091757028623747,0.656454676553803
27.299999999999507,-0.5018478369118257,0.6773420672934563
27.319999999999506,-0.5011406024098686,0.6980301452111854
27.339999999999506,-0.4895245995310086,0.7074240329904157
27.359999999999506,-0.48622662929758564,0.7338852413542778
27.379999999999505,-0.4858001766362851,0.7515480985916111
27.399999999999505,-0.4801070146770418,0.7701845927401888
27.419999999999504,-0.46257129660766816,0.7779465477472423
27.439999999999504,-0.46491903911159177,0.7913993526010981
27.459999999999503,-0.46490990660683384,0.810290651551083
27.479999999999503,-0.4695747564563447,0.8203444502020575
27.499999999999503,-0.4680538507265402,0.8399608694339347
27.519999999999502,-0.46106450149419753,0.856698810952764
27.5399999999995,-0.47110791807026364,0.8641452884201872
27.5599999999995,-0.47038941609226903,0.8840361122406978
27.5799999999995,-0.45254719728690707,0.9075180763378144
27.5999999999995,-0.46385191253453506,0.9169456992186454
27.6199999999995,-0.460415725259136,0.9268387590744347
27.6399999999995,-0.4649084041519919,0.9444501470695328
27.6599999999995,-0.4661692824936995,0.9503614748537383
27.6799999999995,-0.45501573369891923,0.9695579321866317
27.6999999999995,-0.46434182640778027,0.9870508742314206
27.719999999999498,-0.46562501046706556,0.9994049051516886
27.739999999999498,-0.4604980653068557,1.0149559382402948
27.759999999999497,-0.45724171758337556,1.0218974539983219
27.779999999999497,-0.45120067112077933,1.0290178279794284
27.799999999999496,-0.4453870488763988,1.040226274428986
27.819999999999496,-0.4500746190072098,1.0486405700073287
27.839999999999495,-0.4526216737954213,1.0488943306494036
27.859999999999495,-0.445040766358482,1.0430627026768926
27.879999999999495,-0.450025004072061,1.047459269520293
27.899999999999494,-0.4566900099375854,1.0575788124183831
27.919999999999494,-0.44758159345403037,1.0599185003267486
27.939999999999493,-0.4391492171604533,1.0601389667160195
27.959999999999493,-0.42966919918374485,1.082232519556783
27.979999999999492,-0.4290841094428438,1.0908766048995902
27.999999999999492,-0.41707591759203505,1.0882240017360263
28.01999999999949,-0.4189992308342629,1.0945465018023113
28.03999999999949,-0.4212847452725648,1.0926511431984334
28.05999999999949,-0.42872353433647703,1.092280764213832
28.07999999999949,-0.4333470451784734,1.1087147112329592
28.09999999999949,-0.440683939494264,1.1214003132718922
28.11999999999949,-0.4409687424046546,1.129083651900405
28.13999999999949,-0.43959712837370046,1.1396422039384058
28.15999999999949,-0.4481164001472141,1.1338022517662587
28.179999999999488,-0.45497311961285014,1.1410343441222162
28.199999999999488,-0.4548654310311249,1.1389406870122454
28.219999999999487,-0.44095787059856967,1.1433464391726498
28.239999999999487,-0.4421442113221498,1.1476500702069483
28.259999999999486,-0.4443627654048311,1.1490236262917313
28.279999999999486,-0.4392589131821796,1.1493606287205227
28.299999999999486,-0.44577931260663267,1.1490196547741938
28.319999999999485,-0.43744271313165345,1.1528526976250504
28.339999999999485,-0.44624884566419676,1.1686511496222467
28.359999999999484,-0.4430190592255195,1.180586733162541
28.379999999999484,-0.4422911054079325,1.1812604933957187
28.399999999999483,-0.45142291951804553,1.183811933741791
28.419999999999483,-0.44228092425962684,1.1875926851228442
28.439999999999483,-0.4460399034666392,1.1854182923924421
28.459999999999482,-0.4439662898014833,1.1859025332776907
28.47999999999948,-0.4403968767579702,1.1803171748576808
28.49999999999948,-0.4350317926509979,1.1776654392409218
28.51999999999948,-0.4347143436142989,1.1868625832831623
28.53999999999948,-0.4294500877491464,1.19477609463986
28.55999999999948,-0.4196173250984295,1.199956243506256
28.57999999999948,-0.41008585714708107,1.1823084503755035
28.59999999999948,-0.4047956840888724,1.190527721729089
28.61999999999948,-0.4092436218369663,1.1929805079940639
28.63999999999948,-0.40736023251319164,1.1939043606865836
28.659999999999478,-0.4024348746207825,1.1977283195316526
28.679999999999477,-0.4068939098768428,1.1900075009825213
28.699999999999477,-0.41248105323352424,1.1870578244855399
28.719999999999477,-0.41099408722695513,1.1902437353280675
28.739999999999476,-0.39813746256693655,1.1920766549561885
28.759999999999476,-0.4008420010119085,1.193168196795834
28.779999999999475,-0.3893583220009731,1.2145605055110225
28.799999999999475,-0.37995864100740484,1.2265575283203585
28.819999999999474,-0.3780027505315219,1.2284336771506579
28.839999999999474,-0.37080800648903467,1.2344325192897487
28.859999999999474,-0.370345010703728,1.2345663800421152
28.879999999999473,-0.36609576533342736,1.2378434950778097
28.899999999999473,-0.3740312355091124,1.2495485870548473
28.919999999999472,-0.3902233377976395,1.242213323198475
28.939999999999472,-0.3792081112376812,1.240543321978391
28.95999999999947,-0.3741445645142952,1.2353067647287916
28.97999999999947,-0.3707609910864546,1.2390064989882716
28.99999999999947,-0.3773748234910196,1.239013833430584
29.01999999999947,-0.3664222693873226,1.236251058264528
29.03999999999947,-0.3595623707662491,1.243744878615507
29.05999999999947,-0.3721841161763915,1.2380141294611047
29.07999999999947,-0.36746201640389636,1.241046799326308
29.09999999999947,-0.3750505085805679,1.236225296988969
29.119999999999468,-0.3709547896127778,1.229224580823495
29.139999999999468,-0.3713415144524574,1.2227274933336887
29.159999999999467,-0.37816958368202036,1.2197955740597597
29.179999999999467,-0.38244951658537224,1.2194726471057438
29.199999999999466,-0.37006320203804666,1.2126923322697405
29.219999999999466,-0.3740529947956252,1.2051033535675006
29.239999999999466,-0.3684789335015665,1.210660878574504
29.259999999999465,-0.3568977195304787,1.207967106248413
29.279999999999465,-0.35198848774946634,1.2040435831685672
29.299999999999464,-0.3592843400031646,1.2110268882010025
29.319999999999464,-0.3605599010225961,1.2146954033307764
29.339999999999463,-0.34526758110688915,1.2093834645828367
29.359999999999463,-0.3486706741125684,1.210768344354236
29.379999999999463,-0.3515117984722724,1.2104429288081118
29.399999999999462,-0.3553849158019412,1.2218819987058245
29.41999999999946,-0.3530226899530124,1.2099942164189104
